Title,GameURL,ThumbnailURL,Category,Type,Description
8 Eyes,/roms/8-eyes.md,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROnkzn0EfxtPjhvOzBcVuOQg5ivhbcmYxoa1xjPOvMvNqe5qgyrqucc7MTAA&s,Genre,Emulator,Action platformer where a knight and his bird explore catacombs to recover magical gems.
Actraiser 2,/roms/actraiser-2.md,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyY2U0ABdHixmx8eauTuNlaysIxY3Ok1I8FPfYuTl5_BNScFCAZXwBJRqie7w&s,Category,Emulator,"Action-adventure
Description|Play as the god-like hero and protect the world from evil forces."
Actraiser,/roms/actraiser.md,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4BmI8nirKaT6VzkQacY8TGhx36sHm4TgpE9ngsIS1SX11WkCOA3CYyaPGsg&s,Category,Emulator,"Simulation
Description|Guide people to build civilizations and battle monsters as a god-like entity."
Advance Wars 2 Black Hole Rising,/roms/advance-wars-2-black-hole-rising.md,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRehaYkNaajf-eo1BPQoJNPlQ47qqKyE5owxaLfMBZVQR7cBtjZSbJHh0Uvpc&s,Category,Emulator,"Strategy
Description|Lead your army to victory against the sinister Black Hole Army in turn-based tactical combat."
Advance Wars,/roms/advance-wars.md,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSOfUJthzx7SYhntS6Un5bFttDW4YWzDA_hvWAg1iKuazznXflHGClXQMvPySk&s,Category,Emulator,"Turn-based strategy game.
Platform|Gameboy Advance.
Developer|Intelligent Systems.
Release Date|2001.
Publisher|Nintendo."
Advanced Busterhawk Gleylancer,/roms/advanced-busterhawk-gleylancer.md,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2xFbnTflI5V67q-w1rgcxZ_t5MI7VV-xwL22tLkLHkEQdh6iQHyZ2P4YxaFs&s,Genre,Emulator,Side-scrolling shoot 'em up where player controls a space ship against alien invasion.
Adventure Island 3,/roms/adventure-island-3.md,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNCfGg3GPeY4m7zPxNyhXKxOsUUjMcTIMCmfSRL61ed8w5R6bacolYiwPUu7w&s,Platformer,Emulator,Master Higgins must rescue his girlfriend by defeating enemies and bosses in various tropical locations.
Adventure Island Ii,/roms/adventure-island-ii.md,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqXUJmiZ53OkSyqeZ7k6v9s88hU9GZeRIEthtA8LHlEuL6T8MOh2PJC_inYA&s,Category,Emulator,"Platformer.
Description|Master Higgins searches new islands to rescue his beloved Tina from the evil wizard."
Adventure Island,/roms/adventure-island.md,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRx_mBZq2Q2nEoCXtd6a7feJKXRGeKOMX8-e2llXaueuigVCI24UMfRvRw3ZqI&s,Genre,Emulator,"Platformer. 
Storyline|Player must help Master Higgins save Princess Leilani from evil witch doctor. 
Developer|Hudson Soft. 
Publisher|Nintendo."
Adventures Of Batman Robin The,/roms/adventures-of-batman-robin-the.md,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRwIPM7-7eE_1EBuJm_PBtyki4LtHidNBOeUcx6zsJRB32O_ZYnbaodku6cyw&s,Category,Emulator,"Action
Platform|Sega Genesis
Description|Play as Batman or Robin to stop villains in Gotham City."
